fecha,volumen
2021-08-18,62.09
2021-08-19,61.88
2021-08-24,60.76
2021-08-25,60.55
2021-08-26,60.51
2021-08-27,60.27
2021-08-28,60.06
2021-08-29,59.85
2021-08-30,59.64
2021-08-31,59.41
2021-09-01,59.47
2021-09-02,59.23
2021-09-03,59.12
2021-09-04,58.95
2021-09-05,58.74
2021-09-06,58.54
2021-09-07,58.34
2021-09-08,58.09
2021-09-09,57.86
2021-09-10,57.69
2021-09-11,57.42
2021-09-12,57.21
2021-09-13,57.04
2021-09-14,56.87
2021-09-15,56.74
2021-09-16,56.57
2021-09-17,56.44
2021-09-18,56.23
2021-09-19,55.96
2021-09-20,55.8
2021-09-21,55.56
2021-09-22,55.3
2021-09-23,55.13
2021-09-24,54.99
2021-09-25,54.89
2021-09-26,54.76
2021-09-27,54.66
2021-09-28,54.6
2021-09-29,54.43
2021-09-30,54.37
2021-10-01,54.27
2021-10-02,54.17
2021-10-03,54.1
2021-10-04,53.97
2021-10-05,53.87
2021-10-06,53.74
2021-10-07,53.64
2021-10-08,53.51
2021-10-09,53.38
2021-10-10,53.28
2021-10-11,53.18
2021-10-12,53.08
2021-10-13,52.99
2021-10-14,52.92
2021-10-15,52.79
2021-10-16,52.69
2021-10-17,52.63
2021-10-18,52.53
2021-10-19,52.44
2021-10-20,52.31
2021-10-21,52.18
2021-10-22,52.05
2021-10-23,51.88
2021-10-24,51.75
2021-10-25,51.66
2021-10-26,51.6
2021-10-27,51.5
2021-10-28,51.47
2021-10-29,51.37
2021-10-30,52.11
2021-10-31,52.24
2021-11-01,52.44
2021-11-02,52.44
2021-11-03,52.47
2021-11-04,52.44
2021-11-05,52.34
2021-11-06,52.31
2021-11-07,52.28
2021-11-08,52.24
2021-11-10,52.18
2021-11-11,52.11
2021-11-12,52.08
2021-11-13,52.05
2021-11-14,51.95
2021-11-15,51.92
2021-11-16,51.82
2021-11-17,51.75
2021-11-18,51.66
2021-11-19,51.63
2021-11-20,51.6
2021-11-21,51.53
2021-11-22,51.5
2021-11-23,51.57
2021-11-24,51.57
2021-11-25,51.57
2021-11-26,51.53
2021-11-27,51.53
2021-11-28,51.47
2021-11-29,51.53
2021-11-30,51.43
2021-12-01,51.4
2021-12-02,51.37
2021-12-03,51.34
2021-12-04,51.3
2021-12-05,51.34
2021-12-06,51.27
2021-12-07,51.24
2021-12-08,51.3
2021-12-09,51.4
2021-12-10,51.43
2021-12-11,51.63
2021-12-12,51.75
2021-12-13,51.85
2021-12-14,51.95
2021-12-15,52.01
2021-12-16,52.05
2021-12-17,52.01
2021-12-18,52.01
2021-12-19,51.98
2021-12-20,51.95
2021-12-21,51.98
2021-12-22,51.98
2021-12-23,51.95
2021-12-24,52.05
2021-12-25,52.08
2021-12-26,52.28
2021-12-27,52.79
2021-12-28,53.05
2021-12-29,53.18
2021-12-30,53.31
2021-12-31,53.44
2022-01-01,53.54
2022-01-02,53.61
2022-01-03,53.64
2022-01-04,53.64
2022-01-05,53.67
2022-01-06,53.74
2022-01-07,53.77
2022-01-08,53.77
2022-01-09,53.74
2022-01-10,54
2022-01-11,54.07
2022-01-12,54.17
2022-01-13,54.2
2022-01-14,54.23
2022-01-15,54.23
2022-01-16,54.23
2022-01-17,54.27
2022-01-18,54.27
2022-01-19,54.27
2022-01-20,54.27
2022-01-21,54.23
2022-01-22,54.2
2022-01-23,54.17
2022-01-24,54.17
2022-01-25,54.1
2022-01-26,54.03
2022-01-27,54
2022-01-28,53.94
2022-01-29,53.87
2022-01-30,53.8
2022-01-31,53.74
2022-02-01,53.74
2022-02-02,53.61
2022-02-03,53.54
2022-02-04,53.44
2022-02-05,53.41
2022-02-06,53.28
2022-02-07,53.21
2022-02-08,53.12
2022-02-09,53.05
2022-02-10,52.99
2022-02-11,52.92
2022-02-12,52.85
2022-02-13,52.76
2022-02-14,52.66
2022-02-15,52.53
2022-02-16,52.5
2022-02-17,52.37
2022-02-18,52.31
2022-02-19,52.24
2022-02-20,52.11
2022-02-21,52.01
2022-02-22,51.95
2022-02-23,51.85
2022-02-24,51.75
2022-02-25,51.63
2022-02-26,51.6
2022-02-28,51.53
2022-03-01,51.5
2022-03-02,51.47
2022-03-03,51.37
2022-03-04,51.4
2022-03-05,51.34
2022-03-06,51.27
2022-03-07,51.3
2022-03-08,51.3
2022-03-09,51.27
2022-03-10,51.24
2022-03-11,51.24
2022-03-12,51.21
2022-03-15,51.85
2022-03-16,52.08
2022-03-17,52.21
2022-03-18,52.31
2022-03-19,52.41
2022-03-20,52.5
2022-03-21,52.79
2022-03-22,54.66
2022-03-23,56.37
2022-03-24,57.28
2022-03-25,58.3
2022-03-26,59.37
2022-03-27,60.2
2022-03-28,60.86
2022-03-29,61.42
2022-03-30,62.31
2022-03-31,62.91
2022-04-01,63.41
2022-04-02,63.8
2022-04-03,64.16
2022-04-04,64.38
2022-04-05,64.59
2022-04-06,64.81
2022-04-07,65.06
2022-04-08,65.14
2022-04-09,65.28
2022-04-10,65.42
2022-04-11,65.64
2022-04-12,65.94
2022-04-13,66.11
2022-04-14,66.44
2022-04-15,66.7
2022-04-16,66.92
2022-04-17,67.14
2022-04-18,67.29
2022-04-19,67.39
2022-04-20,67.39
2022-04-21,67.47
2022-04-22,67.55
2022-04-23,68.2
2022-04-24,68.58
2022-04-25,68.95
2022-04-26,69.36
2022-04-27,69.96
2022-04-28,70.67
2022-04-29,71.2
2022-04-30,71.74
2022-05-01,72.24
2022-05-02,72.58
2022-05-03,73.08
2022-05-04,73.42
2022-05-05,73.77
2022-05-06,74.04
2022-05-07,74.24
2022-05-08,74.43
2022-05-09,74.58
2022-05-10,74.62
2022-05-11,74.62
2022-05-12,74.66
2022-05-13,74.62
2022-05-14,74.58
2022-05-15,74.55
2022-05-16,74.43
2022-05-17,74.36
2022-05-18,74.31
2022-05-19,74.19
2022-05-20,74.08
2022-05-21,73.88
2022-05-22,73.73
2022-05-23,73.54
2022-05-25,73.03
2022-05-26,72.88
2022-05-27,72.73
2022-05-28,72.61
2022-05-29,72.42
2022-05-30,72.27
2022-05-31,72.04
2022-06-01,71.85
2022-06-03,71.44
2022-06-04,71.2
2022-06-05,70.98
2022-06-06,70.75
2022-06-07,70.6
2022-06-08,70.42
2022-06-09,70.15
2022-06-10,69.96
2022-06-11,69.74
2022-06-12,69.51
2022-06-13,69.36
2022-06-14,69.14
2022-06-15,68.92
2022-06-16,68.69
2022-06-17,68.47
2022-06-18,68.28
2022-06-19,67.95
2022-06-20,67.62
2022-06-21,67.39
2022-06-22,67.14
2022-06-23,66.84
2022-06-24,66.66
2022-06-25,66.41
2022-06-26,66.18
2022-06-27,65.97
2022-06-28,65.75
2022-06-29,65.57
2022-06-30,65.35
2022-07-05,64
2022-07-12,63
2022-07-19,61
2022-07-26,59
2022-08-02,58
2022-08-09,56
2022-08-16,54
2022-08-23,53
2022-08-30,51
2022-09-06,50
2022-09-13,48
2022-09-20,47
2022-09-27,46
2022-10-04,45
2022-10-11,44
2022-10-18,44
2022-10-25,44
2022-11-01,44
2022-11-08,44
2022-11-15,43
2022-11-22,43
2022-11-29,46
2022-12-06,46
2022-12-12,50
2022-12-19,59
2022-12-26,61
2023-01-02,62
2023-01-09,63
2023-01-16,64
2023-01-23,66
2023-01-30,67
2023-02-06,68
2023-02-13,68
2023-02-20,67
2023-02-27,67
